family,identifier,child,subchild,sort-as,control_name,assessment_objective,EXAMINE,INTERVIEW,TEST
,AC-01_ODP[01],,,AC-01-00-01,,personnel or roles to whom the access control policy is to be disseminated is/are defined;,,,
,AC-01_ODP[02],,,AC-01-00-02,,personnel or roles to whom the access control procedures are to be disseminated is/are defined;,,,
,AC-01_ODP[03],,,AC-01-00-03,,one or more of the following PARAMETER VALUES is/are selected: {organization-level; mission/business process-level; system-level};,,,
,AC-01_ODP[04],,,AC-01-00-04,,an official to manage the access control policy and procedures is defined;,,,
,AC-01_ODP[05],,,AC-01-00-05,,the frequency at which the current access control policy is reviewed and updated is defined;,,,
,AC-01_ODP[06],,,AC-01-00-06,,events that would require the current access control policy to be reviewed and updated are defined;,,,
,AC-01_ODP[07],,,AC-01-00-07,,the frequency at which the current access control procedures are reviewed and updated is defined;,,,
,AC-01_ODP[08],,,AC-01-00-08,,events that would require procedures to be reviewed and updated are defined;,,,
,AC-01a.[01],,,AC-01-00-09,,an access control policy is developed and documented;,,,
,AC-01a.[02],,,AC-01-00-10,,the access control policy is disseminated to <AC-01_ODP[01] personnel or roles>;,,,
,AC-01a.[03],,,AC-01-00-11,,access control procedures to facilitate the implementation of the access control policy and associated controls are developed and documented;,,,
,AC-01a.[04],,,AC-01-00-12,,the access control procedures are disseminated to <AC-01_ODP[02] personnel or roles>;,,,
,,AC-01a.[01],AC-01a.01(a)[01],AC-01-00-13,,the <AC-01_ODP[03] SELECTED PARAMETER VALUES> access control policy addresses purpose;,,,
,,AC-01a.[01],AC-01a.01(a)[02],AC-01-00-14,,the <AC-01_ODP[03] SELECTED PARAMETER VALUES> access control policy addresses scope;,,,
,,AC-01a.[01],AC-01a.01(a)[03],AC-01-00-15,,the <AC-01_ODP[03] SELECTED PARAMETER VALUES> access control policy addresses roles;,,,
,,AC-01a.[01],AC-01a.01(a)[04],AC-01-00-16,,the <AC-01_ODP[03] SELECTED PARAMETER VALUES> access control policy addresses responsibilities;,,,
,,AC-01a.[01],AC-01a.01(a)[05],AC-01-00-17,,the <AC-01_ODP[03] SELECTED PARAMETER VALUES> access control policy addresses management commitment;,,,
,,AC-01a.[01],AC-01a.01(a)[06],AC-01-00-18,,the <AC-01_ODP[03] SELECTED PARAMETER VALUES> access control policy addresses coordination among organizational entities;,,,
,,AC-01a.[01],AC-01a.01(a)[07],AC-01-00-19,,the <AC-01_ODP[03] SELECTED PARAMETER VALUES> access control policy addresses compliance;,,,
,,AC-01a.[01],AC-01a.01(b),AC-01-00-20,,"the <AC-01_ODP[03] SELECTED PARAMETER VALUES> access control policy is consistent with applicable laws, Executive Orders, directives, regulations, policies, standards, and guidelines;",,,
,AC-01b,,,AC-01-00-21,,"the <AC-01_ODP[04] official> is designated to manage the development, documentation, and dissemination of the access control policy and procedures;",,,
,AC-01c.01[01],,,AC-01-00-22,,the current access control policy is reviewed and updated <AC-01_ODP[05] frequency>;,,,
,AC-01c.01[02],,,AC-01-00-23,,the current access control policy is reviewed and updated following <AC-01_ODP[06] events>;,,,
,AC-01c.02[01],,,AC-01-00-24,,the current access control procedures are reviewed and updated <AC-01_ODP[07] frequency>;,,,
,AC-01c.02[02],,,AC-01-00-25,,the current access control procedures are reviewed and updated following <AC-01_ODP[08] events>.,,,
